;52;56;60;65;71;79;88;>88;94;>94;110;>110
332;;;;;97,08;91,46;86,46;78,49;83,63;78,49;78,12;73,29
333;;;;;97,37;91,74;86,72;78,72;83,88;78,72;78,35;73,51
334;;;;;97,66;92,01;86,98;78,96;84,13;78,96;78,59;73,73
335;;;;;97,95;92,29;87,24;79,20;84,38;79,20;78,82;73,95
336;;;;;98,25;92,56;87,50;79,43;84,63;79,43;79,06;74,17
337;;;;;98,54;92,84;87,76;79,67;84,89;79,67;79,29;74,39
338;;;;;98,83;93,11;88,02;79,91;85,14;79,91;79,53;74,61
339;;;;;99,12;93,39;88,28;80,14;85,39;80,14;79,76;74,83
340;;;;;99,42;93,66;88,54;80,38;85,64;80,38;80,00;75,06
341;;;;;99,71;93,94;88,80;80,61;85,89;80,61;80,24;75,28
342;;;;;100,00;94,21;89,06;80,85;86,15;80,85;80,47;75,50
343;;;;;;94,49;89,32;81,09;86,40;81,09;80,71;75,72
344;;;;;;94,77;89,58;81,32;86,65;81,32;80,94;75,94
345;;;;;;95,04;89,84;81,56;86,90;81,56;81,18;76,16
346;;;;;;95,32;90,10;81,80;87,15;81,80;81,41;76,38
347;;;;;;95,59;90,36;82,03;87,41;82,03;81,65;76,60
348;;;;;;95,87;90,63;82,27;87,66;82,27;81,88;76,82
349;;;;;;96,14;90,89;82,51;87,91;82,51;82,12;77,04
350;;;;;;96,42;91,15;82,74;88,16;82,74;82,35;77,26
351;;;;;;96,69;91,41;82,98;88,41;82,98;82,59;77,48
352;;;;;;96,97;91,67;83,22;88,66;83,22;82,82;77,70
353;;;;;;97,25;91,93;83,45;88,92;83,45;83,06;77,92
354;;;;;;97,52;92,19;83,69;89,17;83,69;83,29;78,15
355;;;;;;97,80;92,45;83,92;89,42;83,92;83,53;78,37
356;;;;;;98,07;92,71;84,16;89,67;84,16;83,76;78,59
357;;;;;;98,35;92,97;84,40;89,92;84,40;84,00;78,81
358;;;;;;98,62;93,23;84,63;90,18;84,63;84,24;79,03
359;;;;;;98,90;93,49;84,87;90,43;84,87;84,47;79,25
360;;;;;;99,17;93,75;85,11;90,68;85,11;84,71;79,47
361;;;;;;99,45;94,01;85,34;90,93;85,34;84,94;79,69
362;;;;;;99,72;94,27;85,58;91,18;85,58;85,18;79,91
363;;;;;;100,00;94,53;85,82;91,44;85,82;85,41;80,13
364;;;;;;;94,79;86,05;91,69;86,05;85,65;80,35
365;;;;;;;95,05;86,29;91,94;86,29;85,88;80,57
366;;;;;;;95,31;86,52;92,19;86,52;86,12;80,79
367;;;;;;;95,57;86,76;92,44;86,76;86,35;81,02
368;;;;;;;95,83;87,00;92,70;87,00;86,59;81,24
369;;;;;;;96,09;87,23;92,95;87,23;86,82;81,46
370;;;;;;;96,35;87,47;93,20;87,47;87,06;81,68
371;;;;;;;96,61;87,71;93,45;87,71;87,29;81,90
372;;;;;;;96,88;87,94;93,70;87,94;87,53;82,12
373;;;;;;;97,14;88,18;93,95;88,18;87,76;82,34
374;;;;;;;97,40;88,42;94,21;88,42;88,00;82,56
375;;;;;;;97,66;88,65;94,46;88,65;88,24;82,78
376;;;;;;;97,92;88,89;94,71;88,89;88,47;83,00
377;;;;;;;98,18;89,13;94,96;89,13;88,71;83,22
378;;;;;;;98,44;89,36;95,21;89,36;88,94;83,44
379;;;;;;;98,70;89,60;95,47;89,60;89,18;83,66
380;;;;;;;98,96;89,83;95,72;89,83;89,41;83,89
381;;;;;;;99,22;90,07;95,97;90,07;89,65;84,11
382;;;;;;;99,48;90,31;96,22;90,31;89,88;84,33
383;;;;;;;99,74;90,54;96,47;90,54;90,12;84,55
384;;;;;;;100,00;90,78;96,73;90,78;90,35;84,77
385;;;;;;;;91,02;96,98;91,02;90,59;84,99
386;;;;;;;;91,25;97,23;91,25;90,82;85,21
387;;;;;;;;91,49;97,48;91,49;91,06;85,43
388;;;;;;;;91,73;97,73;91,73;91,29;85,65
389;;;;;;;;91,96;97,98;91,96;91,53;85,87
390;;;;;;;;92,20;98,24;92,20;91,76;86,09
391;;;;;;;;92,43;98,49;92,43;92,00;86,31
392;;;;;;;;92,67;98,74;92,67;92,24;86,53
393;;;;;;;;92,91;98,99;92,91;92,47;86,75
394;;;;;;;;93,14;99,24;93,14;92,71;86,98
395;;;;;;;;93,38;99,50;93,38;92,94;87,20
396;;;;;;;;93,62;99,75;93,62;93,18;87,42
396;;;;;;;;93,62;99,75;93,62;93,18;87,42
397;;;;;;;;93,85;100,00;93,85;93,41;87,64
398;;;;;;;;94,09;100,25;94,09;93,65;87,86
399;;;;;;;;94,33;100,50;94,33;93,88;88,08
400;;;;;;;;94,56;100,76;94,56;94,12;88,30
401;;;;;;;;94,80;101,01;94,80;94,35;88,52
402;;;;;;;;95,04;101,26;95,04;94,59;88,74
403;;;;;;;;95,27;101,51;95,27;94,82;88,96
404;;;;;;;;95,51;101,76;95,51;95,06;89,18
405;;;;;;;;95,74;102,02;95,74;95,29;89,40
406;;;;;;;;95,98;;95,98;95,53;89,62
407;;;;;;;;96,22;;96,22;95,76;89,85
408;;;;;;;;96,45;;96,45;96,00;90,07
409;;;;;;;;96,69;;96,69;96,24;90,29
410;;;;;;;;96,93;;96,93;96,47;90,51
411;;;;;;;;97,16;;97,16;96,71;90,73
412;;;;;;;;97,40;;97,40;96,94;90,95
413;;;;;;;;97,64;;97,64;97,18;91,17
414;;;;;;;;97,87;;97,87;97,41;91,39
415;;;;;;;;98,11;;98,11;97,65;91,61
416;;;;;;;;98,35;;98,35;97,88;91,83
417;;;;;;;;98,58;;98,58;98,12;92,05
418;;;;;;;;98,82;;98,82;98,35;92,27
419;;;;;;;;99,05;;99,05;98,59;92,49
420;;;;;;;;99,29;;99,29;98,82;92,72
421;;;;;;;;99,53;;99,53;99,06;92,94
422;;;;;;;;99,76;;99,76;99,29;93,16
423;;;;;;;;100,00;;100,00;99,53;93,38
424;;;;;;;;;;;99,76;93,60
425;;;;;;;;;;;100,00;93,82
426;;;;;;;;;;;;94,04
427;;;;;;;;;;;;94,26
428;;;;;;;;;;;;94,48
429;;;;;;;;;;;;94,70
430;;;;;;;;;;;;94,92
431;;;;;;;;;;;;95,14
432;;;;;;;;;;;;95,36
433;;;;;;;;;;;;95,58
434;;;;;;;;;;;;95,81
435;;;;;;;;;;;;96,03
436;;;;;;;;;;;;96,25
437;;;;;;;;;;;;96,47
438;;;;;;;;;;;;96,69
439;;;;;;;;;;;;96,91
440;;;;;;;;;;;;97,13
441;;;;;;;;;;;;97,35
442;;;;;;;;;;;;97,57
443;;;;;;;;;;;;97,79
444;;;;;;;;;;;;98,01
445;;;;;;;;;;;;98,23
446;;;;;;;;;;;;98,45
447;;;;;;;;;;;;98,68
448;;;;;;;;;;;;98,90
449;;;;;;;;;;;;99,12
450;;;;;;;;;;;;99,34
451;;;;;;;;;;;;99,56
452;;;;;;;;;;;;99,78
453;;;;;;;;;;;;100,00
